Claart,Fecfac,Cant
01CEMCAZ50,21/02/20,100.0
01CEMBIG,21/02/20,2.0
01CEMBIG,22/02/20,2.0
01CEMAGR,22/02/20,25.17
01CEMCAZ50,24/02/20,100.0
01ARM204,25/02/20,15.0
01CEMAGR,25/02/20,25.08
01CEMCAZ50,26/02/20,100.0
01CAL,26/02/20,20.0
01CEMCAZ50,26/02/20,20.0
01CEMCAZ50,26/02/20,100.0
01CEMCAZ50,27/02/20,250.0
05CS15MF,27/02/20,2.0
01CEMCAZ50,28/02/20,200.0
01CEMAGR,28/02/20,25.11
01CAL,29/02/20,15.0
01CEMCAZ50,29/02/20,40.0
01ARM204,02/03/20,2.0
01CEMCAZ50,02/03/20,30.0
01CEMAGR,02/03/20,25.19
01CEMCAZ50,04/03/20,100.0
01ARM204,04/03/20,5.0
01CEMBC,05/03/20,1.0
01ES,05/03/20,8.0
06PEGAMM,05/03/20,4.0
01CEMCAZ50,07/03/20,40.0
01CEMCAZ50,11/03/20,30.0
01VAR112,11/03/20,5.0
01VAR38,11/03/20,20.0
01CEMAGR,09/03/20,25.09
01CEMCAZ50,09/03/20,100.0
01CEMAGR,10/03/20,25.17
01CEMBIG,11/03/20,2.0
01CEMCAZ50,11/03/20,250.0
01CEMBIG,12/03/20,2.0
01CEMAGR,12/03/20,16.8
01BLO15,12/03/20,100.0
01CEMCAZ50,12/03/20,20.0
01CEMAGR,13/03/20,5.79
01CEMAGR,13/03/20,17.59
01CEMBIG,14/03/20,4.0
01CEMAGR,14/03/20,9.31
01CEMCAZ50,16/03/20,120.0
01CEMCAZ50,16/03/20,1020.0
01ARM204,17/03/20,10.0
01CEMAGR,17/03/20,25.07
01ALREC,17/03/20,3.63
01VAR38,17/03/20,18.0
01ALREC,17/03/20,12.36
01VAR38,17/03/20,7.0
01ALREC,18/03/20,20.0
01ARM204,18/03/20,10.0
01EST1530,18/03/20,40.0
01VAR112,18/03/20,15.0
01VAR38,18/03/20,70.0
01ALAM,18/03/20,20.0
01ARM204,18/03/20,10.0
01EST1525,18/03/20,17.0
01VAR38,18/03/20,30.0
05ADAPH1,18/03/20,2.0
05ADAPH34,18/03/20,2.0
05COCP1,18/03/20,2.0
05CODCP190,18/03/20,6.0
05CONIN34,18/03/20,2.0
05COPCOB12,18/03/20,6.0
05PEGF150,18/03/20,1.0
05REDCPVC134,18/03/20,4.0
05TEECPVC1,18/03/20,5.0
05TUBCPVC1,18/03/20,6.1
06ABRASNF12,18/03/20,6.0
06CILIG2,18/03/20,1.0
06LIJACOB,18/03/20,2.0
06PASTSOLD,18/03/20,1.0
06SOL1,18/03/20,3.0
06VALCH1,18/03/20,1.0
01VAR38,18/03/20,1.0
01ARM204,18/03/20,1.0
05ADAPHC12,18/03/20,3.0
05ADAPMC12,18/03/20,3.0
05ADAPMCP1,18/03/20,2.0
05CODCP9012,18/03/20,4.0
05CONEXT12,18/03/20,4.0
05CONIN12,18/03/20,4.0
05COPCP12,18/03/20,6.0
05COPCP34,18/03/20,6.0
05LLAN12UN,18/03/20,1.0
05TAPMGALV1,18/03/20,2.0
05TEECPVCC12,18/03/20,4.0
05TUBCOL12,18/03/20,3.05
05TUBCPVC34,18/03/20,6.1
05VALBCP12,18/03/20,3.0
05VALBCP34,18/03/20,1.0
0616920,18/03/20,1.0
06CINT12,18/03/20,2.0
06CINT34,18/03/20,1.0
01CEMCAZ50,18/03/20,80.0
01ARM204,18/03/20,15.0
01CAL,18/03/20,10.0
01CEMCAZ50,18/03/20,10.0
04HBISL3,18/03/20,3.0
0549365,18/03/20,1.0
05ADAPHPK12,18/03/20,1.0
05CHUPMF,18/03/20,2.0
05CODCP9034,18/03/20,6.0
05CODPVC245,18/03/20,4.0
05COFLEXWCC,18/03/20,1.0
05CONIN12,18/03/20,2.0
05COPCP12,18/03/20,4.0
05COPCP34,18/03/20,4.0
05CPR11234,18/03/20,4.0
05NIPGALV122,18/03/20,2.0
05REDPVC32,18/03/20,2.0
05TEECPVC34,18/03/20,6.0
05TEEGAL12,18/03/20,1.0
05TEEPVC3,18/03/20,1.0
05TUBCPVC34,18/03/20,3.05
05TUBPVCN2,18/03/20,3.0
05VALERO12,18/03/20,1.0
05YEEPVC3,18/03/20,1.0
0617303,18/03/20,1.0
0649330,18/03/20,1.0
06MANPJARML,18/03/20,5.0
06PIJ8112,18/03/20,10.0
06SOL1,18/03/20,2.0
08CONPDAB,18/03/20,5.0
08ROS4,18/03/20,5.0
08TAPDM,18/03/20,5.0
06AERONEM,18/03/20,2.0
06PIJ8112,18/03/20,50.0
08CONPDAB,18/03/20,1.0
08RON14,18/03/20,24.0
08RONP14,18/03/20,24.0
08TORC142,18/03/20,24.0
03SOL182,18/03/20,24.0
04HDCM14,18/03/20,1.0
04HSEL,18/03/20,2.0
04HSI2176,18/03/20,1.0
04HSI2178,18/03/20,2.0
04HTAQ14,18/03/20,50.0
05VALBCP34,18/03/20,1.0
01CAL,18/03/20,2.0
01CAS661,18/03/20,25.0
01CEMCAZ50,18/03/20,8.0
03ANG182,18/03/20,37.5
03PTR114,18/03/20,46.2
03PTR11414,18/03/20,10.6
08TUER14,18/03/20,24.0
01CAL,18/03/20,1.0
01CEMCAZ50,18/03/20,33.0
02TOR812,18/03/20,100.0
03MDD2518,18/03/20,0.5
03PTR114,18/03/20,16.8
03PTR114,18/03/20,16.8
03SOL18112,18/03/20,6.2
04HSO1318,18/03/20,1.0
01CAS651,18/03/20,5.0
01CAS661,18/03/20,33.0
01CEMCAZ50,18/03/20,107.0
01EST1530,18/03/20,17.0
01VAR112,18/03/20,30.0
01VAR38,18/03/20,56.0
01YEM,18/03/20,4.0
02TOR812,18/03/20,200.0
01ALAM,18/03/20,40.0
01ALREC,18/03/20,20.0
01ALREC,18/03/20,5.0
01ARM1543,18/03/20,6.0
01ARM204,18/03/20,12.0
03LG31018,18/03/20,1.0
03PTR114,18/03/20,4.2
0412004,18/03/20,4.0
05CODPVC345,18/03/20,2.0
05CODPVC390,18/03/20,2.0
05TUBPVCN3,18/03/20,6.0
08CAJCHR,18/03/20,7.0
