"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","facren","Nncar","Numfac","Tipo","canfon","observacion","Clauni","objimp"
"1","SRVDC16","5000","1","0","yes","4310.34483","16","0","1388346","0","ZINC0188","ZI007782","yes","0","","0",""
"1","SRVDC16","34080","1","0","yes","29379.31034","16","0","1388349","0","ZINC0189","ZI008040","yes","0","","0",""
"1","SRVDC16","484","1","0","yes","417.24138","16","0","1388357","0","ZINC0190","ZI008041","yes","0","","0",""
"1","SRVDC16","5000","1","0","yes","4310.34483","16","0","1388362","0","ZINC0191","ZI009349","yes","0","","0",""
"1","SRVDC16","800","1","0","yes","689.65517","16","0","1388365","0","ZINC0192","ZI011368","yes","0","","0",""
"1","SRVDC16","28000","1","0","yes","24137.93103","16","0","1388368","0","ZINC0193","ZI012630","yes","0","","0",""
"1","SRVDC16","1000","1","0","yes","862.06897","16","0","1388386","0","ZINC0194","ZI015364","yes","0","","0",""
"1","SRVDC16","3370.8","1","0","yes","2905.86207","16","0","1388449","0","ZINC0195","ZI004003","yes","0","","0",""
"1","SRVDC16","2280","1","0","yes","1965.51724","16","0","1388493","0","ZINC0196","ZI004081","yes","0","","0",""
"1","SRVDC16","30600","1","0","yes","26379.31034","16","0","1388498","0","ZINC0201","ZI016114","yes","0","","0",""
"1","SRVDC16","3060","1","0","yes","2637.93103","16","0","1388501","0","ZINC0202","ZI016262","yes","0","","0",""
"1","SRVDC16","6000","1","0","yes","5172.41379","16","0","1388513","0","ZINC0197","ZI004175","yes","0","","0",""
"1","SRVDC16","5680","1","0","yes","4896.55172","16","0","1388516","0","ZINC0198","ZI004361","yes","0","","0",""
"1","SRVDC16","1140","1","0","yes","982.75862","16","0","1388532","0","ZINC0199","ZI004362","yes","0","","0",""
"1","SRVDC16","329.4","1","0","yes","283.96552","16","0","1388535","0","ZINC0200","ZI004447","yes","0","","0",""
"1","SRVDC16","12240","1","0","yes","10551.72414","16","0","1388545","0","ZINC0203","ZI016289","yes","0","","0",""
