"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","Numfac","Numped","Pedren","canfon"
"1","05TUBCPVC1","27.9743","18.3","0","yes","27.2568","16","0","72125","00000003","","0","0"
"1","01MALSOL10","9.1455","8000","0","yes","10.56","16","0","72401","00000141","","0","0"
"1","01ARM1543H","92.96243","600","0","yes","92","16","0","72450","00005365","","0","0"
"1","01CEMCAZ50","109.4825","1020","0","yes","109.4825","16","0","72807","00005364","","0","0"
"1","01CAL","47.5","1140","0","yes","46.6479","16","0","73927","00005363","","0","0"
"1","01EST1515","14.2197","2110","0","yes","13.7685","16","0","74137","00005362","","0","0"
"1","01INC","16586.21","1","0","yes","0","16","0","74724","00000023","","0","0"
"1","01BLO10","4.2241","600","0","yes","4.224","16","0","74746","00000025","","0","0"
"12","05ADPIN34","4.4249","54","0","yes","0","16","0","75608","00000030","","0","0"
"13","05TUBPVCN6","47.3973","384","0","yes","0","16","0","75608","00000030","","0","0"
"14","05CODPVC690","18.8539","32","0","yes","0","16","0","75608","00000030","","0","0"
"15","05TEEPVC6","32.5289","16","0","yes","0","16","0","75608","00000030","","0","0"
"7","06POLH1","5.0406","200","0","yes","0","16","0","75608","00000030","","0","0"
"8","05RBPVC134","3.0133","18","0","yes","0","16","0","75608","00000030","","0","0"
"9","05ADAPIM1","4.0177","18","0","yes","0","16","0","75608","00000030","","0","0"
"10","05PEGPVCTR150","22.291","18","0","yes","0","16","0","75608","00000030","","0","0"
"11","05CODIN1","8.2474","36","0","yes","0","16","0","75608","00000030","","0","0"
"2","05CODPVC290","1.3638","656","0","yes","0","16","0","75608","00000030","","0","0"
"3","05CODPVC490","6.1648","410","0","yes","0","16","0","75608","00000030","","0","0"
"4","05LPVC12","37.6156","25","0","yes","0","16","0","75608","00000030","","0","0"
"5","05TUBPVCN4","18.9752","1476","0","yes","0","16","0","75608","00000030","","0","0"
"6","05PEG500","54.9306","123","0","yes","0","16","0","75608","00000030","","0","0"
"1","05TUBPVCN2","7.7789","84","0","yes","7.779","16","0","75608","00000030","","0","0"
"1","01TRPIA34","672.42","2","0","yes","568.9655","16","0","75626","00005376","","0","0"
"24","06MART16","33.3135","138","0","yes","0","16","0","75767","00000026","","0","0"
"25","05VALESR1","60.6957","168","0","yes","0","16","0","75767","00000026","","0","0"
"18","06AERVB","22.2057","84","0","yes","0","16","0","75767","00000026","","0","0"
"19","0618085","25.1658","18","0","yes","0","16","0","75767","00000026","","0","0"
"20","0618122","27.3834","18","0","yes","0","16","0","75767","00000026","","0","0"
"21","0614685","14.0679","18","0","yes","0","16","0","75767","00000026","","0","0"
"22","0610615","97.713","20","0","yes","0","16","0","75767","00000026","","0","0"
"23","0617880","70.3197","18","0","yes","0","16","0","75767","00000026","","0","0"
"11","06TALACOM","80.685","84","0","yes","0","16","0","75767","00000026","","0","0"
"12","06CUCH","25.1658","246","0","yes","0","16","0","75767","00000026","","0","0"
"13","06LLALB","33.3135","84","0","yes","0","16","0","75767","00000026","","0","0"
"14","04HBISL3LT","3.7026","600","0","yes","0","16","0","75767","00000026","","0","0"
"15","06CEPPP","20.7306","168","0","yes","0","16","0","75767","00000026","","0","0"
"16","0621602","24.4233","84","0","yes","0","16","0","75767","00000026","","0","0"
"17","06CARR5","381.2094","82","0","yes","0","16","0","75767","00000026","","0","0"
"7","06RAF1","36.2736","82","0","yes","0","16","0","75767","00000026","","0","0"
"8","06TS","144.342","84","0","yes","0","16","0","75767","00000026","","0","0"
"9","06PALCD","48.114","84","0","yes","0","16","0","75767","00000026","","0","0"
"10","0622511","43.6689","84","0","yes","0","16","0","75767","00000026","","0","0"
"1","06ALAG145","20.691","138","0","yes","21.0547","16","0","75767","00000026","","0","0"
"2","06BRIC5","21.3147","168","0","yes","0","16","0","75767","00000026","","0","0"
"3","06JAR12","40.7088","90","0","yes","0","16","0","75767","00000026","","0","0"
"4","06NIV18","38.4912","84","0","yes","0","16","0","75767","00000026","","0","0"
"5","06CORT18","136.9368","82","0","yes","0","16","0","75767","00000026","","0","0"
"6","0617301","28.1259","84","0","yes","0","16","0","75767","00000026","","0","0"
"1","01CEMAGR","1948.2801","50","0","yes","1948.2801","16","0","76193","00005361","","0","0"
"1","01MALSOL10","12.16049","8000","0","yes","11.7351","16","0","76810","00005360","","0","0"
